Count,Code,Description,Retail,Date,Cost,Supplier,Book,Total,Category,,,,,,,,
5,,12 ohm 1/4 watt,,,,,$0.02,$0.10,13,,,,,,,,
100,,100k ohm 1/4W metal,,14/11/2020,$0.02,AliExpress,$0.00,$0.00,13,,,,,,,,
35,,120k ohm 1/4 watt,,,,,$0.02,$0.70,13,,,,,,,,
130,,12k ohm 1/4 watt,,,,,$0.02,$2.60,13,,,,,,,,
100,,15 ohm 1/4 watt,,7/04/2020,,eBay,$0.02,$2.00,13,,,,,,,,
68,,150 ohm 1/4 watt metal,,5/06/2013,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
63,,150k ohm 1/4 watt,,,,,$0.02,$1.26,13,,,,,,,,
204,,15k ohm 1/4 watt metal,,7/04/2020,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
,,,,,,,$0.00,$0.00,13,,,,,,,,
82,,100k ohm 1/8W 1% metal,,,,,$0.00,$0.00,13,,,,,,,,
29,,180k ohm 1/4 watt,,,,,$0.02,$0.58,13,,,,,,,,
48,,18k ohm 1/4 watt,,,,,$0.02,$0.96,13,,,,,,,,
133,,100 ohm 1/4 watt metal 1%,,22/02/2014,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
80,,1k ohm 1/4 watt metal,,11/06/2016,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
41,,1.2k ohm 1/4 watt,,,,,$0.02,$0.82,13,,,,,,,,
58,,1.5k ohm 1/4 watt metal,,6/03/2017,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
50,,1.8k ohm 1/4 watt,,,,,$0.02,$1.00,13,,,,,,,,
55,,3.3m 1/4W,,6/01/2016,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
879,,1.1m ohm 1/4 watt,,,,,$0.01,$8.79,13,,,,,,,,
20,,1.2m ohm 1/4 watt,,,,,$0.02,$0.40,13,,,,,,,,
"1,000",,1.5m ohm 1/3 watt metal,,,,,$0.02,$20.00,13,,,,,,,,
50,,1.5m ohm 1/4 watt,,,,,$0.02,$1.00,13,,,,,,,,
179,,1.8m ohm 1/4 watt,,,,,$0.02,$3.58,13,,,,,,,,
100,,2.2 ohm 1/4W metal,,7/04/2020,,eBay,$0.02,$2.00,13,,,,,,,,
100,,27 ohm 1/4W metal,,7/04/2020,,eBay,$0.02,$2.00,13,,,,,,,,
160,,20k ohm 1/4 watt,,,,,$0.02,$3.20,13,,,,,,,,
97,,22 ohm 1/4 watt,,,,,$0.02,$1.94,13,,,,,,,,
760,,220k ohm 1/4 watt,,,,,$0.01,$7.60,13,,,,,,,,
4,,22k ohm 1/4 watt,,,,,$0.02,$0.08,13,,,,,,,,
150,,22k ohm 1/4 watt metal,,10/11/2015,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
,,,,,,,$0.02,$0.00,13,,,,,,,,
69,,220 ohm 1/4 watt metal,,7/04/2020,,eBay,$0.00,$0.00,13,,,,,,,,
762,,270 ohm 1/4 watt,,,,,$0.02,$15.24,13,,,,,,,,
15,,270k ohm 1/4 watt,,,,,$0.02,$0.30,13,,,,,,,,
917,,27k ohm 1/4 watt,,,,,$0.01,$9.17,13,,,,,,,,
